Nama Produk;Harga;Diskon;Harga Sebelum Diskon;Lokasi;Toko;Rating;Terjual
ARUTALA Kopi Lampung Robusta Coffee 500 Gram - Giling Halus;Rp71.999;22%;Rp92.600;-;Arutala Online Co.;5.0;Terjual 1 rb+
ARUTALA Kopi Flores Robusta Coffee 250 gram - Giling Halus;Rp36.999;20%;Rp46.300;-;Arutala Online Co.;4.9;Terjual 5 rb+
ARUTALA Kopi Flores Robusta Coffee 500 gram - Biji;Rp71.999;22%;Rp92.600;-;Arutala Online Co.;5.0;Terjual 1 rb+
Kopi Robusta Dampit Natural 1kg (biji/bubuk);Rp75.000;0%;Rp75.000;Kab. Malang;filosofi cafe;5.0;Terjual 4 rb+
1KG ROAST BEAN ROBUSTA TEMANGGUNG JUAL BIJI KOPI HARGA GROSIR - GRADE 1-BIJI,  1KG;Rp70.000;0%;Rp70.000;Magelang;Borobudur Roastery;4.9;Terjual 7 rb+
WoCA Kopi Bali Robusta Lanang Peaberry 150 gram - Bean;Rp17.999;50%;Rp36.000;Tangerang;WoCA Indonesia;4.9;Terjual 1 rb+
Drip Bag Coffee (Kopi Indonesia) - 5 Drip Bag;Rp50.000;0%;Rp50.000;Jakarta Barat;Say Something Coffee;4.9;Terjual 100+
Kopi bubuk robusta 100% | 500gr;Rp25.000;0%;Rp25.000;Surabaya;Fana Company;4.8;Terjual 2 rb+
Roasted Bean Premium Robusta Natural Tuang Coffee 1kg;Rp91.735;17%;Rp110.000;Jakarta Selatan;Tuang Coffee;5.0;Terjual 10 rb+
Kopi Robusta Sidikalang Asli Coffee Bean Espresso 500 Gram Biji Bubuk;Rp74.900;38%;Rp119.900;Bekasi;Sakha Coffee Roastery;5.0;Terjual 1 rb+
Kopi Cap Bis Kota (ROBUSTA) 250 Gr;Rp22.300;0%;Rp22.300;Jakarta Timur;Toko Acong 12;4.9;Terjual 7 rb+
Kopi bubuk Robusta cap gentong kopi asli lampung murni 100%;Rp14.500;0%;Rp14.500;Bandar Lampung;chipep;4.9;Terjual 8 rb+
KOPI BUBUK ROBUSTA 1 KG - EKONOMIS, HARUM NIKMAT, PACKING RAPIH;Rp35.000;0%;Rp35.000;Jakarta Barat;Dua 8 Store;4.9;Terjual 1 rb+
ARUTALA Kopi Toraja Rantebua Robusta Coffee Indonesia 250 gr;Rp36.999;20%;Rp46.300;Tangerang;Arutala Online Co.;4.9;Terjual 10 rb+
Robusta Dampit Malang - Biji Kopi;Rp65.000;7%;Rp70.000;Dilayani Tokopedia;Senja Mataram;4.9;Terjual 2 rb+
Kopi Bubuk Lampung 1 Kg ~ Black Coffee Robusta Lampung;Rp50.000;0%;Rp50.000;Bandar Lampung;Black Coffee Lampung;5.0;Terjual 100+
Kopi Bubuk Robusta Dampit Malang;Rp65.000;7%;Rp70.000;Dilayani Tokopedia;Senja Mataram;4.9;Terjual 1 rb+
ARUTALA Kopi Robusta Temanggung Wine 200 gram;Rp50.999;20%;Rp63.800;Tangerang;Arutala Online Co.;4.9;Terjual 1 rb+
kopi robusta temanggung 1kg / roast bean robusta 1kg;Rp35.000;0%;Rp35.000;Jakarta Barat;Aik Kopi;4.5;Terjual 40+
Kopi Luwak Asli 250gr (Robusta);Rp240.000;4%;Rp249.000;Jakarta Utara;Kompeni Coffee;5.0;Terjual 1 rb+
Kopi Robusta Sidikalang - Roasted Bean - 1 KG;Rp104.500;5%;Rp110.000;Medan;Hatana Coffee;5.0;Terjual 1 rb+
Ka.Mu kopi Robusta Pagar Alam;Rp6.000;0%;Rp6.000;Pagar Alam;KaMuCoffee;5.0;Terjual 40+
Kopi Fajarasa Robusta Lampung Biji Kopi Robusta 500 gram;Rp75.000;0%;Rp75.000;Jakarta Barat;Kopi Jayakarta;5.0;Terjual 100+
ARUTALA Kopi Robusta Gayo Coffee 250 gram;Rp36.999;20%;Rp46.300;Tangerang;Arutala Online Co.;4.9;Terjual 10 rb+
Biji Kopi Full Robusta Kopi Susu Ekonomis 1 KG | 1KG;Rp80.000;21%;Rp101.000;Jakarta Selatan;agroastery;5.0;Terjual 6 rb+
ARUTALA Kopi Toraja Rantebua Robusta Coffee 500 Gram;Rp71.999;22%;Rp92.600;Tangerang;Arutala Online Co.;4.9;Terjual 3 rb+
Biji Kopi Bubuk Fine Robusta Gayo Aceh Coffee Sakha Roastery 500 Gram;Rp74.900;32%;Rp109.900;Bekasi;Sakha Coffee Roastery;4.9;Terjual 2 rb+
Kopi Robusta Dampit Tirtoyudo Kualitas Pasar;Rp22.000;0%;Rp22.000;Malang;Amstirdam Coffee;4.9;Terjual 4 rb+
Kopi Java Robusta 900g - Ground (bubuk);Rp69.000;0%;Rp69.000;Dilayani Tokopedia;Leite Coffee;4.9;Terjual 3 rb+
1KG ROAST BEAN ROBUSTA TEMANGGUNG JUAL BIJI KOPI HARGA GROSIR;Rp70.000;0%;Rp70.000;Magelang;Borobudur Roastery;4.9;Terjual 7 rb+
