Nama Produk;Harga;Diskon;Harga Sebelum Diskon;Lokasi;Toko;Rating;Terjual;Estimasi Terjual;Jenis;Proses;Origin;Negara;Jumlah gram
Kopi Arabika Aceh Gayo 500 Gr Single Origin Bean/Biji & Ground/Bubuk - Coarse - Kasar;115500;0;115500;Tangerang;Caffeine Dope;5.0;500+;500;Arabika;Other;Gayo;Lokal;500
Drip Bag Coffee Arabica Gayo Wine Kopi Arabika Asli Murni Siap Seduh;10900;64;29900;Bekasi;Second Step Coffee;5.0;13;13;Arabika;Wine;Gayo;Lokal;Other
Kopi Arabika Mamasa Specialty 200 Gr;95000;0;95000;Jakarta Utara;Sambabo Coffee;4.9;500+;500;Arabika;Other;Mamasa;Lokal;200
Kenal Coffee Djawa Blend Kopi 60% Arabika 40% Robusta 250 Gr;41800;5;44000;Jakarta Pusat;Langgeng Makmur Kencana;5.0;100+;100;Blend;Other;Blend;Other;250
Kopi Aroma Mocca Arabika Bandung;45888;0;45888;Bandung;MELLY Boutique Online;4.9;6 rb+;6000;Arabika;Other;Other;Other;Other
Kopi Arabika Flores Bajawa Commercial Grade 1 kg;140000;0;140000;Jakarta Selatan;Indah Utama;5.0;60+;60;Arabika;Other;Flores;Lokal;1000
Kopi Arabika Tanamera Coffee Sumatera: Mandailing Washed 100g;89100;10;99000;Tangerang Selatan;Tanamera Coffee;5.0;750+;750;Arabika;Wash;Mandailing;Lokal;Other
Kopi Arabika Tanamera Coffee Bali: Kintamani Washed 250g;158000;0;158000;Kab. Badung;Tanamera Coffee;5.0;2 rb+;2000;Arabika;Wash;Bali;Lokal;Other
ARUTALA Kopi Arabika Toraja Sapan 500 Gram;150999;22;193750;Tangerang;Arutala Online Co.;5.0;1 rb+;1000;Arabika;Other;Toraja;Lokal;500
Kopi Aroma Mokka Arabika;47900;0;47900;Bandung;Faiz Abdul online shop;5.0;1 rb+;1000;Arabika;Other;Other;Other;Other
Excelso ARABIKA Gold 200 Gr - BIJI KOPI ( BEAN );50000;0;50000;Jakarta Barat;Nuzararae07;4.9;30+;30;Arabika;Other;Other;Other;200
Kopi Arabika Kintamani Lemon Candy : Honey 200gr | Biji/Bubuk;149000;0;149000;Denpasar;20mL Coffee - Twenty Milli Coffee Roastery;5.0;100+;100;Arabika;Honey;Kintamani;Lokal;200
Kopi Arabika Tanamera Coffee Sumatera: Mandailing Washed 1Kg;462000;0;462000;Tangerang Selatan;Tanamera Coffee;5.0;500+;500;Arabika;Wash;Mandailing;Lokal;1000
kopi arabika korea atomi 3in1;2100;0;2100;Jakarta Barat;TheJastipQue;5.0;2 rb+;2000;Arabika;Other;Other;Other;Other
PAK KOS (Coffee Blend) / PREMIUM ARABIKA KHUSUS KOPI SUSU;36500;0;36500;Kab. Bandung Barat;Genesis Coffee;5.0;1 rb+;1000;Blend;Other;Blend;Other;Other
kopi drip bag paket 5 pcs arabika dan blend;40000;20;50000;Bogor;Kemenady Coffee;4.9;100+;100;Blend;Other;Blend;Other;Other
Kopi Blend Arabika Robusta - Ketje Ndeso Blend 100 Gr;20000;0;20000;Bandar Lampung;EL'S COFFEE;5.0;100+;100;Blend;Other;Blend;Other;100
Kopi Arabika Aceh Gayo Commercial Grade 1 kg;140000;0;140000;Jakarta Selatan;Indah Utama;4.9;100+;100;Arabika;Other;Gayo;Lokal;1000
Kopi Aroma Javaco Bandung//Robusta/Arabika;36500;0;36500;Bandung;Faiz Abdul online shop;4.9;250+;250;Blend;Other;Java;Lokal;Other
Kenal Coffee Java Joe Blend Kopi 50% Arabika Robusta 250 Gr - Bubuk;55000;9;60500;Jakarta Pusat;Langgeng Makmur Kencana;4.8;50+;50;Blend;Other;Blend;Other;250
Kopi Arabika Sumatra: Aceh Gayo 100gr;99000;0;99000;Tangerang Selatan;Tanamera Coffee;5.0;750+;750;Arabika;Other;Gayo;Lokal;100
Kopi Arabika Tanamera Coffee Premium Blend 100gr;89100;10;99000;Tangerang Selatan;Tanamera Coffee;4.9;1 rb+;1000;Blend;Other;Blend;Other;100
Kopi Arabika Mandailing Commercial Grade 500 gr;72500;0;72500;Jakarta Selatan;Indah Utama;4.9;40+;40;Arabika;Other;Mandailing;Lokal;500
Biji Kopi Arabika Ciwidey Gulali 250gr;60000;0;60000;Tangerang Selatan;Kieta_coffee;4.9;750+;750;Arabika;Other;Ciwidey;Lokal;250
Bubuk Kopi Vietnam blend 250gr robusta arabika biji / bubuk Special;38999;5;41000;Kab. Tangerang;Kopi Om Surya;4.8;1 rb+;1000;Blend;Other;Blend;Other;250
Kopi Arabika Flores Bajawa 200gr Biji / Bubuk - Arabica Specialty;78000;0;78000;Semarang;Strada Coffee Shop;4.9;100+;100;Arabika;Other;Flores;Lokal;200
TANAMERA COFFEE - Premium Blend / Kopi Arabika 1kg;412800;17;499000;Jakarta Selatan;H Mart Official Shop;5.0;6;6;Blend;Other;Blend;Other;1000
Kopi Arabika Toraja Sapan 200 Gram - Bubuk / Biji - Arabica Coffee;58000;12;66000;Kab. Bandung;Sentra Kopi;4.9;250+;250;Arabika;Other;Toraja;Lokal;200
Kopi Arabika Gayo Wine 250 Gram;75000;0;75000;Jakarta Selatan;Indah Utama;4.9;250+;250;Arabika;Wine;Gayo;Lokal;250
Kopi Arabika Gayo Aceh,  Wine 1 Kg - Biji/Bubuk–San Kopi Roastery;80000;0;80000;Kab. Aceh Tengah;san coffee;5.0;5;5;Arabika;Wine;Gayo;Lokal;1000
Kopi Sachet Celup Arabika Gayo Wine Arabica Coffee Murni Tanpa Ampas;10900;45;19900;Bekasi;Sakha Coffee Roastery;5.0;90+;90;Arabika;Wine;Gayo;Lokal;Other
Drip Bag Coffee Bundling Kopi Bubuk Arabika Asli Murni Siap Seduh;14900;25;19900;Bekasi;Sakha Coffee Roastery;5.0;100+;100;Arabika;Other;Other;Other;Other
Kopi Aroma Bandung 250 Gram Mix Arabika Robusta;41000;0;41000;Bandung;Faiz Abdul online shop;5.0;1 rb+;1000;Blend;Other;Other;Other;250
Kopi Aroma Mocca Arabika Bandung 500 gr;91888;0;91888;Bandung;MELLY Boutique Online;5.0;1 rb+;1000;Arabika;Other;Other;Other;500
Giling Kasar Kopi Aroma Bandung Mokka Arabika 250 gr;39500;0;39500;Bandung;Totinmart BEC;5.0;60+;60;Arabika;Other;Other;Other;250
Kopi Arabika Garut Sukatani (Kemasan 1kg);210000;7;225000;Malang;Amstirdam Coffee;5.0;100+;100;Arabika;Other;Garut;Lokal;1000
Kopi Arabika gayo Aceh organic grind / kopi aceh / kopi gayo;65000;0;65000;Banda Aceh;Anugrah Aceh Souvenir;5.0;50+;50;Arabika;Other;Gayo;Lokal;Other
Robeans Self Drip Coffee | Kopi Tetes Arabika Robusta Flores | 13 g;9000;0;9000;Surabaya;Robeans;5.0;250+;250;Blend;Other;Flores;Lokal;Other
Biji Kopi 1kg Espresso Blend 70 Arabika / 30 Robusta;80000;0;80000;Tangerang Selatan;KIETA COFFEE GROSIR;5.0;60+;60;Blend;Other;Blend;Other;1000
Kopi Arabika Kerinci 1 Kg Single Origin - Coarse - Kasar;213000;0;213000;Tangerang;Caffeine Dope;5.0;9;9;Arabika;Other;Kerinci;Lokal;1000
Kopi Arabika KENYA KIRINYAGA 200g Specialty Coffee Beans Biji Kopi;143000;0;143000;Bandung;Fugol Coffee;4.9;100+;100;Arabika;Other;Kenya kirinyaga;Internasional;Other
Kopi Arabika Java Ijen 500 Gr Single Origin Bean/Biji & Ground/Bubuk - Bean - Biji;115500;0;115500;Tangerang;Caffeine Dope;4.9;80+;80;Arabika;Other;Ijen;Lokal;500
Kopi Arabika KENYA KIRINYAGA 1 Kg Specialty Coffee Beans Biji Kopi;462000;0;462000;Bandung;Fugol Coffee;5.0;9;9;Arabika;Other;Kenya kirinyaga;Internasional;1000
Kopi Arabika Puntang WINE Process 500 Gram - Bean - Biji;170000;0;170000;Tangerang;Caffeine Dope;5.0;30+;30;Arabika;Wine;Puntang;Lokal;500
Kopi Sachet Celup Arabika Arabica Coffee Saset Asli Murni Tanpa Ampas;9900;50;19900;Bekasi;Sakha Coffee Roastery;4.9;1 rb+;1000;Arabika;Other;Other;Other;Other
Kopi/Coffee ARABIKA PAPUA WAMENA 500gr;104000;0;104000;Jakarta Timur;Kultur Jaringan Kopi;4.9;250+;250;Arabika;Other;Papua;Lokal;500
Kopi/Coffee ARABIKA PAPUA WAMENA 250gr;58000;0;58000;Jakarta Timur;Kultur Jaringan Kopi;4.8;250+;250;Arabika;Other;Papua;Lokal;250
Kopi Arabika Luwak 100 Gr Single Origin - Biji & Bubuk - Bean - Biji;110000;0;110000;Tangerang;Caffeine Dope;5.0;50+;50;Arabika;Luwak;Other;Other;100
